sid,season,number,basin,subbasin,name,iso_time,nature,latitude,longitude,wmo_wind,wmo_pressure,wmo_agency,track_type,dist2land,landfall,iflag,usa_agency,usa_latitude,usa_longitude,usa_record,usa_status,usa_wind,usa_pressure,usa_sshs,usa_r34_ne,usa_r34_se,usa_r34_sw,usa_r34_nw,usa_r50_ne,usa_r50_se,usa_r50_sw,usa_r50_nw,usa_r64_ne,usa_r64_se,usa_r64_sw,usa_r64_nw,usa_poci,usa_roci,usa_rmw,usa_eye,tokyo_latitude,tokyo_longitude,tokyo_grade,tokyo_wind,tokyo_pressure,tokyo_r50_dir,tokyo_r50_longitude,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,cma_latitude,cma_longitude,cma_cat,cma_wind,cma_pressure,hko_latitude,hko_longitude,hko_cat,hko_wind,hko_pressure,newdelhi_latitude,newdelhi_longitude,newdelhi_grade,newdelhi_wind,newdelhi_pressure,newdelhi_ci,newdelhi_dp,newdelhi_poci,reunion_latitude,reunion_longitude,reunion_type,reunion_wind,reunion_pressure,reunion_tnum,reunion_ci,reunion_rmw,reunion_r34_ne,reunion_r34_se,reunion_r34_sw,reunion_r34_nw,reunion_r50_ne,reunion_r50_se,reunion_r50_sw,reunion_r50_nw,reunion_r64_ne,reunion_r64_se,reunion_r64_sw,reunion_r64_nw,bom_latitude,bom_longitude,bom_type,bom_wind,bom_pressure,bom_tnum,bom_ci,bom_rmw,bom_r34_ne,bom_r34_se,bom_r34_sw,bom_r34_nw,bom_r50_ne,bom_r50_se,bom_r50_sw,bom_r50_nw,bom_r64_ne,bom_r64_se,bom_r64_sw,bom_r64_nw,bom_roci,bom_poci,bom_eye,bom_pos_method,bom_pressure_method,wellington_latitude,wellington_longitude,wellington_wind,wellington_pressure,nadi_latitude,nadi_longitude,nadi_cat,nadi_wind,nadi_pressure,ds824_latitude,ds824_longitude,ds824_stage,ds824_wind,ds824_pressure,td9636_latitude,td9636_longitude,td9636_stage,td9636_wind,td9636_pressure,td9635_latitude,td9635_longitude,td9635_wind,td9635_pressure,td9635_roci,neumann_latitude,neumann_longitude,neumann_class,neumann_wind,neumann_pressure,mlc_latitude,mlc_longitude,mlc_class,mlc_wind,mlc_pressure,usa_atcf_id,source_url,etl_timestamp
2022035S18084,2022,4,SI,MM,CLIFF,2/6/2022 12:00:00,NR,-22.996,79.4513,,, ,PROVISIONAL,2260,2230,I_____________,tcvitals,-22.996,79.4513, , ,35,1002,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SI102022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022027S16084,2022,3,SI,MM,BATSIRAI,2/6/2022 12:00:00,NR,-22.816,44.1376,,, ,PROVISIONAL,0,0,I_____________,tcvitals,-22.816,44.1376, , ,46,989,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SI082022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023040S17089,2023,7,SI,MM,DINGANI,2/14/2023 18:00:00,NR,-24.2424,71.6214,,, ,PROVISIONAL,1484,1476,I_____________,tcvitals,-24.2424,71.6214, , ,48,987,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SI132023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022286N15151,2022,41,WP,MM,NOT_NAMED,10/12/2022 18:00:00,NR,14.7286,151.076,,, ,PROVISIONAL,1925,1914,I_____________,tcvitals,14.7992,151.128, , ,25,1004,-1,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,WP212022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022352S12093,2023,54,SI,WA,DARIAN,12/20/2022 6:00:00,NR,-13.9251,92.8378,,, ,PROVISIONAL,1522,1522,I_____________,tcvitals,-13.9251,92.8378, , ,102,952,3,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SI052022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023061S14162,2023,11,SP,MM,KEVIN,3/3/2023 12:00:00,NR,-18.6055,168.572,,, ,PROVISIONAL,239,239,I_____________,tcvitals,-18.6055,168.572, , ,94,962,2,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SP162023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2022097N04148,2022,14,WP,MM,MALAKAS,4/9/2022 12:00:00,NR,8.47423,143.016,,, ,PROVISIONAL,1248,1248,I_____________,tcvitals,8.47423,143.016, , ,49,991,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,WP022022,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
2023039S15153,2023,6,SP,MM,GABRIELLE,2/11/2023 0:00:00,NR,-27.5976,165.995,,, ,PROVISIONAL,585,584,I_____________,tcvitals,-27.5976,165.995, , ,57,975,0,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,, ,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,, ,,,,, ,,,SP122023,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1961014N07141,1961,8,WP,MM,RITA,1/15/1961 0:00:00,TS,9.15714,132.457,,1000,tokyo,main,670,649,OOOO_____OOO__,jtwc_wp,9.1,132.5, , ,30,,-1,,,,,,,,,,,,,,,, ,9.2,132.5,2,,1000,0,,,0,,,0,9.1,132.6,1,29,1002,9.40000,132.1,TD,30,1000,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,132.5,TC,30,,9.1,132.5,1,30,,9.1,132.5,30,998,300,,, ,,,,, ,,,WP011961,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1961188N10147,1961,57,WP,MM,ELSIE,7/14/1961 0:00:00,TS,22.1571,120.357,,985,tokyo,main,23,23,OOOO_____OOO__,jtwc_wp,22.2,120.5, , ,70,,1,,,,,,,,,,,,,,,, ,22,120,9,,985,0,,,0,,,0,22.2,120.5,4,77,984,22.1000,120,T,65,983,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,120.5,TC,70,,22.2,120.5,4,68,,22.2,120.5,68,984,180,,, ,,,,, ,,,WP091961,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
