VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
251020,Manam,14932,Confirmed Eruption,Historical Observations,1,5/17/2003,5/23/2003,-4.08,145.037
284200,Anatahan,18535,Confirmed Eruption,Historical Observations,3,5/10/2003,7/12/2003,16.35,145.67
290360,Chikurachki,18856,Confirmed Eruption,Historical Observations,2,4/17/2003,7/3/2003,50.324,155.461
244000,Vailulu'u,14803,Confirmed Eruption,Historical Observations,0,4/16/2003,,-14.215,-169.058
252120,Ulawun,15071,Confirmed Eruption,Historical Observations,2,4/14/2003,10/10/2003,-5.05,151.33
242050,Monowai,14720,Confirmed Eruption,Hydrophonic,0,4/10/2003,9/16/2004,-25.887,-177.188
357110,Llaima,12075,Confirmed Eruption,Historical Observations,2,4/9/2003,4/16/2003,-38.692,-71.729
273030,Mayon,16812,Confirmed Eruption,Historical Observations,2,3/17/2003,5/14/2003,13.257,123.685
211060,Etna,13837,Confirmed Eruption,Historical Observations,1,3/8/2003,11/9/2003,37.748,14.999
272020,Kanlaon,16748,Confirmed Eruption,Historical Observations,1,3/7/2003,7/23/2003,10.412,123.132
282060,Kikai,17002,Confirmed Eruption,Historical Observations,2,2/16/2003,10/16/2003,30.793,130.305
283110,Asamayama,17809,Confirmed Eruption,Historical Observations,1,2/6/2003,4/18/2003,36.406,138.523
300250,Bezymianny,19380,Confirmed Eruption,Historical Observations,2,12/25/2002,12/28/2002,55.972,160.595
266100,Lokon-Empung,16462,Confirmed Eruption,Historical Observations,2,12/23/2002,4/1/2003,1.358,124.792
272020,Kanlaon,16747,Confirmed Eruption,Historical Observations,1,11/28/2002,11/28/2002,10.412,123.132
300260,Klyuchevskoy,19480,Confirmed Eruption,Historical Observations,2,11/24/2002,4/8/2004,56.056,160.642
233020,"Fournaise, Piton de la",14383,Confirmed Eruption,Historical Observations,2,11/16/2002,12/3/2002,-21.244,55.708
263100,Papandayan,15688,Confirmed Eruption,Historical Observations,2,11/11/2002,12/19/2002,-7.32,107.73
352010,Reventador,11446,Confirmed Eruption,Historical Observations,4,11/3/2002,1/10/2003,-0.077,-77.656
242050,Monowai,14719,Confirmed Eruption,Hydrophonic,0,11/1/2002,11/24/2002,-25.887,-177.188
251020,Manam,14931,Confirmed Eruption,Historical Observations,2,10/31/2002,,-4.08,145.037
211060,Etna,13836,Confirmed Eruption,Historical Observations,3,10/26/2002,1/28/2003,37.748,14.999
355100,Lascar,11875,Confirmed Eruption,Historical Observations,2,10/26/2002,10/27/2002,-23.37,-67.73
344040,Telica,10936,Confirmed Eruption,Historical Observations,0,10/17/2002,,12.606,-86.84
357110,Llaima,12074,Confirmed Eruption,Historical Observations,1,10/13/2002,,-38.692,-71.729
264180,Lewotobi,16300,Confirmed Eruption,Historical Observations,1,10/12/2002,10/12/2002,-8.542,122.775
273030,Mayon,16811,Confirmed Eruption,Historical Observations,1,10/11/2002,10/11/2002,13.257,123.685
352020,Guagua Pichincha,11499,Confirmed Eruption,Historical Observations,1,10/11/2002,12/7/2002,-0.171,-78.598
252140,Rabaul,15098,Confirmed Eruption,Historical Observations,2,10/6/2002,2/17/2004,-4.271,152.203
267010,Ruang,16493,Confirmed Eruption,Historical Observations,4,9/25/2002,9/29/2002,2.3,125.37
312070,Veniaminof,20173,Confirmed Eruption,Historical Observations,1,9/24/2002,3/23/2003,56.17,-159.38
252120,Ulawun,15066,Confirmed Eruption,Historical Observations,2,8/22/2002,11/3/2002,-5.05,151.33
284090,Izu-Torishima,18372,Confirmed Eruption,Historical Observations,2,8/12/2002,8/20/2002,30.484,140.303
252080,Witori,15027,Confirmed Eruption,Historical Observations,3,8/3/2002,3/26/2003,-5.576,150.516
