VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
263250,Merapi,22264,Confirmed Eruption,Historical Observations,3,5/11/2018,6/21/2020,-7.54,110.446
300130,Karymsky,22265,Confirmed Eruption,Historical Observations,3,4/28/2018,9/30/2018,54.049,159.443
261140,Marapi,22262,Confirmed Eruption,Historical Observations,2,4/27/2018,5/2/2018,-0.38,100.474
344020,San Cristobal,22266,Confirmed Eruption,Historical Observations,1,4/22/2018,4/22/2018,12.702,-87.004
261170,Kerinci,22274,Confirmed Eruption,Historical Observations,1,4/21/2018,10/17/2020,-1.697,101.264
223020,Nyamulagira,22315,Confirmed Eruption,Historical Observations,0,4/18/2018,8/5/2021,-1.408,29.2
233020,"Fournaise, Piton de la",22261,Confirmed Eruption,Historical Observations,0,4/3/2018,11/1/2018,-21.244,55.708
263200,Dieng Volcanic Complex,22263,Confirmed Eruption,Historical Observations,1,4/1/2018,4/1/2018,-7.2,109.879
282090,Kirishimayama,22257,Confirmed Eruption,Historical Observations,3,3/1/2018,6/27/2018,31.934,130.862
352090,Sangay,22259,Confirmed Eruption,Historical Observations,1,2/25/2018,2/25/2018,-2.005,-78.341
267020,Karangetang,22256,Confirmed Eruption,Historical Observations,1,2/2/2018,2/2/2018,2.781,125.407
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,Historical Observations,1,1/23/2018,1/23/2018,36.618,138.528
343100,San Miguel,22251,Confirmed Eruption,Historical Observations,1,1/14/2018,5/30/2018,13.434,-88.269
273030,Mayon,22250,Confirmed Eruption,Historical Observations,2,1/13/2018,10/12/2019,13.257,123.685
251002,Kadovar,22246,Confirmed Eruption,Historical Observations,2,1/5/2018,8/19/2021,-3.608,144.588
272020,Kanlaon,22249,Confirmed Eruption,Historical Observations,2,12/9/2017,12/9/2017,10.412,123.132
264020,Agung,22241,Confirmed Eruption,Historical Observations,3,11/21/2017,6/13/2019,-8.343,115.508
261230,Dempo,22248,Confirmed Eruption,Historical Observations,1,11/9/2017,11/9/2017,-4.016,103.121
256010,Tinakula,22239,Confirmed Eruption,Historical Observations,3,10/21/2017,10/26/2017,-10.386,165.804
290240,Sarychev Peak,22308,Confirmed Eruption,Historical Observations,2,10/12/2017,11/13/2017,48.092,153.2
282090,Kirishimayama,22242,Confirmed Eruption,Historical Observations,2,10/11/2017,10/17/2017,31.934,130.862
257030,Ambae,22240,Confirmed Eruption,Historical Observations,3,9/6/2017,10/30/2018,-15.389,167.835
353010,Fernandina,22245,Confirmed Eruption,Historical Observations,2,9/4/2017,9/7/2017,-0.37,-91.55
344020,San Cristobal,22252,Confirmed Eruption,Historical Observations,3,8/18/2017,11/11/2017,12.702,-87.004
261170,Kerinci,22273,Confirmed Eruption,Historical Observations,1,8/13/2017,8/13/2017,-1.697,101.264
352090,Sangay,22231,Confirmed Eruption,Historical Observations,2,7/20/2017,10/26/2017,-2.005,-78.341
264050,Sangeang Api,22228,Confirmed Eruption,Historical Observations,2,7/15/2017,6/10/2020,-8.2,119.07
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,Historical Observations,0,7/14/2017,8/28/2017,-21.244,55.708
252120,Ulawun,22225,Confirmed Eruption,Historical Observations,1,6/11/2017,11/3/2017,-5.05,151.33
273010,Bulusan,22229,Confirmed Eruption,Historical Observations,1,6/5/2017,6/5/2017,12.769,124.056
261140,Marapi,22226,Confirmed Eruption,Historical Observations,1,6/4/2017,6/4/2017,-0.38,100.474
300130,Karymsky,22230,Confirmed Eruption,Historical Observations,3,6/4/2017,1/27/2018,54.049,159.443
357090,Copahue,22232,Confirmed Eruption,Historical Observations,1,6/4/2017,12/7/2018,-37.856,-71.183
345020,Rincon de la Vieja,22208,Confirmed Eruption,Historical Observations,2,5/23/2017,3/15/2018,10.83,-85.324
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,Historical Observations,1,4/30/2017,7/2/2017,-7.2,109.879
284096,Nishinoshima,22207,Confirmed Eruption,Historical Observations,2,4/18/2017,8/17/2017,27.247,140.874
345040,Poas,22209,Confirmed Eruption,Historical Observations,1,4/12/2017,11/6/2017,10.2,-84.233
222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,Historical Observations,0,4/9/2017,8/19/2021,-2.764,35.914
360160,Kick 'em Jenny,22260,Confirmed Eruption,Hydrophonic,0,3/29/2017,3/29/2017,12.3,-61.64
282080,Aira,22203,Confirmed Eruption,Historical Observations,1,3/25/2017,8/19/2021,31.593,130.657
300010,Kambalny,22198,Confirmed Eruption,Historical Observations,3,3/24/2017,4/10/2017,51.306,156.875
262000,Krakatau,22188,Confirmed Eruption,Historical Observations,1,2/19/2017,2/19/2017,-6.102,105.423
344020,San Cristobal,22269,Confirmed Eruption,Historical Observations,1,2/18/2017,4/19/2017,12.702,-87.004
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,Historical Observations,0,1/31/2017,2/27/2017,-21.244,55.708
243030,Unnamed,22185,Confirmed Eruption,Historical Observations,0,1/23/2017,1/31/2017,-20.852,-175.55
260010,Barren Island,22187,Confirmed Eruption,Historical Observations,2,1/15/2017,5/16/2017,12.278,93.858
343100,San Miguel,22192,Confirmed Eruption,Historical Observations,1,1/7/2017,1/7/2017,13.434,-88.269
311300,Bogoslof,22182,Confirmed Eruption,Historical Observations,3,12/20/2016,8/30/2017,53.93,-168.03
290260,Chirinkotan,22175,Confirmed Eruption,Historical Observations,3,11/29/2016,4/7/2017,48.98,153.48
223020,Nyamulagira,22202,Confirmed Eruption,Historical Observations,0,11/27/2016,5/2/2017,-1.408,29.2
300120,Zhupanovsky,22177,Confirmed Eruption,Historical Observations,2,11/20/2016,11/20/2016,53.589,159.15
261170,Kerinci,22172,Confirmed Eruption,Historical Observations,1,11/15/2016,11/21/2016,-1.697,101.264
354006,Sabancaya,22158,Confirmed Eruption,Historical Observations,3,11/6/2016,8/19/2021,-15.787,-71.857
290380,Ebeko,22176,Confirmed Eruption,Historical Observations,2,10/20/2016,8/19/2021,50.686,156.014
252120,Ulawun,22171,Confirmed Eruption,Historical Observations,1,10/11/2016,11/18/2016,-5.05,151.33
282110,Asosan,22174,Confirmed Eruption,Historical Observations,3,10/7/2016,11/12/2016,32.884,131.104
300130,Karymsky,22178,Confirmed Eruption,Historical Observations,2,10/5/2016,10/8/2016,54.049,159.443
222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,Historical Observations,,9/21/2016,10/13/2016,-2.764,35.914
241040,Whakaari/White Island,22147,Confirmed Eruption,Historical Observations,1,9/13/2016,9/13/2016,-37.52,177.18
354020,Ubinas,22181,Confirmed Eruption,Historical Observations,2,9/13/2016,3/2/2017,-16.355,-70.903
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,Historical Observations,0,9/11/2016,9/18/2016,-21.244,55.708
268060,Gamalama,22150,Confirmed Eruption,Historical Observations,1,8/3/2016,8/4/2016,0.8,127.33
264030,Rinjani,22149,Confirmed Eruption,Historical Observations,2,8/1/2016,9/27/2016,-8.42,116.47
290360,Chikurachki,22153,Confirmed Eruption,Historical Observations,2,7/27/2016,8/18/2016,50.324,155.461
343100,San Miguel,22154,Confirmed Eruption,Historical Observations,1,6/18/2016,6/18/2016,13.434,-88.269
273010,Bulusan,22151,Confirmed Eruption,Historical Observations,2,6/10/2016,3/2/2017,12.769,124.056
345040,Poas,22156,Confirmed Eruption,Historical Observations,1,6/5/2016,8/16/2016,10.2,-84.233
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,Historical Observations,0,5/26/2016,5/27/2016,-21.244,55.708
241040,Whakaari/White Island,22121,Confirmed Eruption,Historical Observations,1,4/27/2016,4/27/2016,-37.52,177.18
390080,Bristol Island,22133,Confirmed Eruption,Historical Observations,1,4/24/2016,7/19/2016,-59.017,-26.533
344020,San Cristobal,22130,Confirmed Eruption,Historical Observations,2,4/22/2016,4/22/2016,12.702,-87.004
311240,Cleveland,22128,Confirmed Eruption,Historical Observations,2,4/16/2016,1/16/2019,52.825,-169.944
261170,Kerinci,22125,Confirmed Eruption,Historical Observations,2,3/31/2016,6/9/2016,-1.697,101.264
390130,Zavodovski,22159,Confirmed Eruption,Historical Observations,1,3/30/2016,5/16/2016,-56.3,-27.57
290360,Chikurachki,22127,Confirmed Eruption,Historical Observations,2,3/29/2016,3/31/2016,50.324,155.461
312030,Pavlof,22129,Confirmed Eruption,Historical Observations,2,3/27/2016,7/30/2016,55.417,-161.894
352090,Sangay,22237,Confirmed Eruption,Historical Observations,2,3/25/2016,11/17/2016,-2.005,-78.341
273010,Bulusan,22114,Confirmed Eruption,Historical Observations,2,2/22/2016,2/22/2016,12.769,124.056
343100,San Miguel,22117,Confirmed Eruption,Historical Observations,1,1/12/2016,1/18/2016,13.434,-88.269
357070,"Chillan, Nevados de",22119,Confirmed Eruption,Historical Observations,2,1/8/2016,8/19/2021,-36.868,-71.378
266030,Soputan,22105,Confirmed Eruption,Historical Observations,3,1/2/2016,2/7/2016,1.112,124.737
344090,Momotombo,22107,Confirmed Eruption,Historical Observations,2,12/1/2015,4/7/2016,12.423,-86.539
272020,Kanlaon,22106,Confirmed Eruption,Historical Observations,2,11/24/2015,6/18/2016,10.412,123.132
261140,Marapi,22111,Confirmed Eruption,Historical Observations,1,11/14/2015,11/14/2015,-0.38,100.474
263310,Tengger Caldera,22103,Confirmed Eruption,Historical Observations,2,11/12/2015,11/12/2016,-7.942,112.95
355100,Lascar,22110,Confirmed Eruption,Historical Observations,2,10/30/2015,4/2/2017,-23.37,-67.73
264030,Rinjani,22104,Confirmed Eruption,Historical Observations,2,10/25/2015,12/24/2015,-8.42,116.47
252010,Langila,22123,Confirmed Eruption,Historical Observations,2,10/22/2015,8/19/2021,-5.525,148.42
344100,Masaya,22108,Confirmed Eruption,Historical Observations,1,10/3/2015,8/16/2021,11.985,-86.165
243060,Tofua,22370,Confirmed Eruption,Historical Observations,0,10/2/2015,8/15/2021,-19.75,-175.07
290390,Alaid,21096,Confirmed Eruption,Historical Observations,1,9/29/2015,8/11/2016,50.861,155.565
344040,Telica,21097,Confirmed Eruption,Historical Observations,2,9/23/2015,5/11/2016,12.606,-86.84
357090,Copahue,21098,Confirmed Eruption,Historical Observations,2,9/18/2015,12/30/2016,-37.856,-71.183
266100,Lokon-Empung,21093,Confirmed Eruption,Historical Observations,1,8/30/2015,9/28/2015,1.358,124.792
300260,Klyuchevskoy,21095,Confirmed Eruption,Historical Observations,3,8/28/2015,6/15/2018,56.056,160.642
352050,Cotopaxi,21088,Confirmed Eruption,Historical Observations,2,8/14/2015,1/24/2016,-0.677,-78.436
343100,San Miguel,22233,Confirmed Eruption,Historical Observations,1,8/13/2015,8/13/2015,13.434,-88.269
360160,Kick 'em Jenny,21090,Confirmed Eruption,Historical Observations,0,7/23/2015,7/24/2015,12.3,-61.64
268060,Gamalama,21087,Confirmed Eruption,Historical Observations,2,7/16/2015,9/8/2015,0.8,127.33
264270,Sirung,21086,Confirmed Eruption,Historical Observations,1,7/7/2015,7/8/2015,-8.508,124.13
283020,Hakoneyama,21080,Confirmed Eruption,Historical Observations,1,6/29/2015,7/1/2015,35.233,139.021
354006,Sabancaya,21089,Confirmed Eruption,Historical Observations,1,6/28/2015,7/9/2015,-15.787,-71.857
222120,"Lengai, Ol Doinyo",22304,Confirmed Eruption,Historical Observations,0,6/20/2015,8/24/2015,-2.764,35.914
283110,Asamayama,21081,Confirmed Eruption,Historical Observations,1,6/16/2015,6/16/2015,36.406,138.523
345020,Rincon de la Vieja,22132,Confirmed Eruption,Historical Observations,1,6/16/2015,5/1/2016,10.83,-85.324
342110,Pacaya,22157,Confirmed Eruption,Historical Observations,1,6/7/2015,8/19/2021,14.382,-90.601
282050,Kuchinoerabujima,21073,Confirmed Eruption,Historical Observations,3,5/29/2015,6/19/2015,30.443,130.217
353020,Wolf,21075,Confirmed Eruption,Historical Observations,4,5/25/2015,6/2/2015,0.02,-91.35
266100,Lokon-Empung,21071,Confirmed Eruption,Historical Observations,1,5/20/2015,5/27/2015,1.358,124.792
344040,Telica,21074,Confirmed Eruption,Historical Observations,2,5/7/2015,5/28/2015,12.606,-86.84
273010,Bulusan,21072,Confirmed Eruption,Historical Observations,2,5/1/2015,7/17/2015,12.769,124.056
331021,Axial Seamount,21092,Confirmed Eruption,Seismicity,0,4/23/2015,5/24/2015,45.95,-130
358020,Calbuco,21076,Confirmed Eruption,Historical Observations,4,4/22/2015,5/26/2015,-41.33,-72.618
345070,Turrialba,20998,Confirmed Eruption,Historical Observations,2,3/8/2015,12/7/2019,10.025,-83.767
344020,San Cristobal,22268,Confirmed Eruption,Historical Observations,2,3/5/2015,6/12/2015,12.702,-87.004
290360,Chikurachki,20990,Confirmed Eruption,Historical Observations,3,2/16/2015,2/18/2015,50.324,155.461
233020,"Fournaise, Piton de la",20982,Confirmed Eruption,Historical Observations,0,2/4/2015,10/31/2015,-21.244,55.708
343100,San Miguel,20994,Confirmed Eruption,Historical Observations,1,1/26/2015,4/11/2015,13.434,-88.269
352090,Sangay,22236,Confirmed Eruption,Historical Observations,2,1/19/2015,4/7/2015,-2.005,-78.341
266030,Soputan,20988,Confirmed Eruption,Historical Observations,3,1/6/2015,3/7/2015,1.112,124.737
300260,Klyuchevskoy,20992,Confirmed Eruption,Historical Observations,2,1/1/2015,5/10/2015,56.056,160.642
243040,Hunga Tonga-Hunga Ha'apai,20983,Confirmed Eruption,Historical Observations,2,12/19/2014,1/23/2015,-20.536,-175.382
268060,Gamalama,20989,Confirmed Eruption,Historical Observations,2,12/18/2014,12/25/2014,0.8,127.33
357120,Villarrica,20996,Confirmed Eruption,Historical Observations,1,12/2/2014,8/13/2021,-39.42,-71.93
263340,Raung,21070,Confirmed Eruption,Historical Observations,3,11/23/2014,8/30/2015,-8.119,114.056
384010,Fogo,20977,Confirmed Eruption,Historical Observations,3,11/23/2014,2/8/2015,14.95,-24.35
290260,Chirinkotan,22223,Confirmed Eruption,Historical Observations,2,11/21/2014,8/10/2015,48.98,153.48
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,Historical Observations,2,11/18/2014,8/19/2021,4.892,-75.324
390090,Saunders,22271,Confirmed Eruption,Historical Observations,1,11/12/2014,5/12/2021,-57.8,-26.483
312030,Pavlof,20975,Confirmed Eruption,Historical Observations,1,11/12/2014,11/15/2014,55.417,-161.894
345070,Turrialba,20974,Confirmed Eruption,Historical Observations,2,10/29/2014,12/8/2014,10.025,-83.767
283040,Ontakesan,20964,Confirmed Eruption,Historical Observations,3,9/27/2014,10/14/2014,35.893,137.48
345020,Rincon de la Vieja,20961,Confirmed Eruption,Historical Observations,1,9/17/2014,10/24/2014,10.83,-85.324
282110,Asosan,20960,Confirmed Eruption,Historical Observations,2,8/30/2014,5/1/2016,32.884,131.104
373030,Bardarbunga,20955,Confirmed Eruption,Historical Observations,0,8/29/2014,2/27/2015,64.633,-17.516
342110,Pacaya,22222,Confirmed Eruption,Historical Observations,1,8/25/2014,2/17/2015,14.382,-90.601
273030,Mayon,20959,Confirmed Eruption,Historical Observations,0,8/12/2014,10/19/2014,13.257,123.685
282050,Kuchinoerabujima,20952,Confirmed Eruption,Historical Observations,1,8/3/2014,8/3/2014,30.443,130.217
344020,San Cristobal,22267,Confirmed Eruption,Historical Observations,2,7/20/2014,10/1/2014,12.702,-87.004
252140,Rabaul,20957,Confirmed Eruption,Historical Observations,3,7/7/2014,9/18/2014,-4.271,152.203
357090,Copahue,20954,Confirmed Eruption,Historical Observations,1,7/4/2014,12/2/2014,-37.856,-71.183
251020,Manam,20956,Confirmed Eruption,Historical Observations,2,6/29/2014,8/19/2021,-4.08,145.037
233020,"Fournaise, Piton de la",20919,Confirmed Eruption,Historical Observations,0,6/21/2014,6/21/2014,-21.244,55.708
267020,Karangetang,20914,Confirmed Eruption,Historical Observations,2,6/8/2014,3/15/2016,2.781,125.407
300120,Zhupanovsky,20908,Confirmed Eruption,Historical Observations,3,6/6/2014,3/24/2016,53.589,159.15
312030,Pavlof,20909,Confirmed Eruption,Historical Observations,3,5/31/2014,6/2/2014,55.417,-161.894
264050,Sangeang Api,20911,Confirmed Eruption,Historical Observations,3,5/30/2014,11/5/2015,-8.2,119.07
223020,Nyamulagira,20942,Confirmed Eruption,Historical Observations,0,5/30/2014,5/14/2016,-1.408,29.2
284141,Ahyi,20936,Confirmed Eruption,Hydrophonic,0,4/24/2014,5/17/2014,20.42,145.03
263300,Semeru,22221,Confirmed Eruption,Historical Observations,3,4/1/2014,8/19/2021,-8.108,112.922
262000,Krakatau,20932,Confirmed Eruption,Historical Observations,1,3/31/2014,3/31/2014,-6.102,105.423
251030,Karkar,20910,Confirmed Eruption,Historical Observations,1,3/26/2014,3/27/2014,-4.649,145.964
263250,Merapi,20892,Confirmed Eruption,Historical Observations,3,3/9/2014,4/20/2014,-7.54,110.446
263180,Slamet,20933,Confirmed Eruption,Historical Observations,2,3/8/2014,9/17/2014,-7.242,109.208
263280,Kelut,20934,Confirmed Eruption,Historical Observations,4,2/13/2014,2/15/2014,-7.93,112.308
267020,Karangetang,20913,Confirmed Eruption,Historical Observations,1,2/9/2014,2/9/2014,2.781,125.407
344020,San Cristobal,20941,Confirmed Eruption,Historical Observations,1,2/4/2014,4/11/2014,12.702,-87.004
261140,Marapi,20931,Confirmed Eruption,Historical Observations,1,2/3/2014,2/26/2014,-0.38,100.474
255060,Kavachi,20920,Confirmed Eruption,Historical Observations,1,1/29/2014,1/29/2014,-8.991,157.979
311360,Shishaldin,20937,Confirmed Eruption,Historical Observations,1,1/28/2014,10/16/2015,54.756,-163.97
282110,Asosan,20935,Confirmed Eruption,Historical Observations,1,1/13/2014,2/19/2014,32.884,131.104
343100,San Miguel,20906,Confirmed Eruption,Historical Observations,2,12/29/2013,7/28/2014,13.434,-88.269
284096,Nishinoshima,20916,Confirmed Eruption,Historical Observations,2,11/20/2013,11/17/2015,27.247,140.874
263250,Merapi,20842,Confirmed Eruption,Historical Observations,2,11/18/2013,11/18/2013,-7.54,110.446
300120,Zhupanovsky,20907,Confirmed Eruption,Historical Observations,3,10/23/2013,10/26/2013,53.589,159.15
260010,Barren Island,20918,Confirmed Eruption,Historical Observations,2,10/12/2013,5/17/2016,12.278,93.858
263090,Tangkuban Parahu,20987,Confirmed Eruption,Historical Observations,1,10/5/2013,10/5/2013,-6.77,107.6
221020,Zubair Group,21068,Confirmed Eruption,Historical Observations,2,9/28/2013,11/20/2013,15.05,42.18
344040,Telica,22195,Confirmed Eruption,Historical Observations,1,9/25/2013,9/25/2013,12.606,-86.84
261080,Sinabung,20818,Confirmed Eruption,Historical Observations,4,9/15/2013,8/30/2018,3.17,98.392
211060,Etna,20841,Confirmed Eruption,Historical Observations,2,9/3/2013,8/19/2021,37.748,14.999
354020,Ubinas,20832,Confirmed Eruption,Historical Observations,2,9/1/2013,2/27/2016,-16.355,-70.903
264250,Iliwerung,20912,Confirmed Eruption,Historical Observations,0,8/20/2013,8/20/2013,-8.53,123.57
300260,Klyuchevskoy,20786,Confirmed Eruption,Historical Observations,1,8/15/2013,12/20/2013,56.056,160.642
357120,Villarrica,20838,Confirmed Eruption,Historical Observations,1,7/25/2013,7/29/2013,-39.42,-71.93
252120,Ulawun,20835,Confirmed Eruption,Historical Observations,1,7/8/2013,12/21/2013,-5.05,151.33
263340,Raung,22378,Confirmed Eruption,Historical Observations,1,6/29/2013,7/31/2013,-8.119,114.056
312070,Veniaminof,20836,Confirmed Eruption,Historical Observations,3,6/13/2013,10/12/2013,56.17,-159.38
290260,Chirinkotan,20757,Confirmed Eruption,Historical Observations,1,6/11/2013,6/1/2014,48.98,153.48
344020,San Cristobal,20817,Confirmed Eruption,Historical Observations,1,6/7/2013,6/7/2013,12.702,-87.004
263300,Semeru,22220,Confirmed Eruption,Historical Observations,1,6/4/2013,11/29/2013,-8.108,112.922
282060,Kikai,20781,Confirmed Eruption,Historical Observations,1,6/4/2013,6/4/2013,30.793,130.305
261170,Kerinci,22216,Confirmed Eruption,Historical Observations,2,6/2/2013,6/2/2013,-1.697,101.264
345070,Turrialba,20831,Confirmed Eruption,Historical Observations,2,5/21/2013,6/4/2013,10.025,-83.767
312030,Pavlof,20807,Confirmed Eruption,Historical Observations,3,5/13/2013,6/26/2013,55.417,-161.894
273030,Mayon,20798,Confirmed Eruption,Historical Observations,2,5/7/2013,5/7/2013,13.257,123.685
355100,Lascar,20789,Confirmed Eruption,Historical Observations,1,4/2/2013,11/20/2013,-23.37,-67.73
342110,Pacaya,20802,Confirmed Eruption,Historical Observations,2,3/5/2013,4/10/2014,14.382,-90.601
263090,Tangkuban Parahu,20822,Confirmed Eruption,Historical Observations,2,2/21/2013,3/6/2013,-6.77,107.6
260010,Barren Island,20754,Confirmed Eruption,Historical Observations,1,2/16/2013,2/16/2013,12.278,93.858
290070,Etorofu-Yakeyama [Grozny Group],20762,Confirmed Eruption,Historical Observations,2,2/16/2013,4/4/2013,45.012,147.871
284305,Mariana Back-Arc Segment at 15.5°N,21102,Confirmed Eruption,Historical Observations,0,2/13/2013,12/1/2015,15.406,144.506
251030,Karkar,20779,Confirmed Eruption,Historical Observations,3,1/29/2013,2/26/2013,-4.649,145.964
352090,Sangay,22235,Confirmed Eruption,Historical Observations,2,1/25/2013,5/24/2013,-2.005,-78.341
252140,Rabaul,20811,Confirmed Eruption,Historical Observations,2,1/19/2013,3/11/2014,-4.271,152.203
341040,Colima,20759,Confirmed Eruption,Historical Observations,2,1/6/2013,3/7/2017,19.514,-103.62
344020,San Cristobal,20816,Confirmed Eruption,Historical Observations,2,12/26/2012,12/28/2012,12.702,-87.004
357090,Copahue,20760,Confirmed Eruption,Historical Observations,2,12/22/2012,12/10/2013,-37.856,-71.183
252010,Langila,20788,Confirmed Eruption,Historical Observations,1,12/1/2012,12/5/2012,-5.525,148.42
300240,Tolbachik,20825,Confirmed Eruption,Historical Observations,4,11/27/2012,9/5/2013,55.832,160.326
241080,Tongariro,20827,Confirmed Eruption,Historical Observations,2,11/21/2012,11/21/2012,-39.157,175.632
290150,Chirpoi,20756,Confirmed Eruption,Historical Observations,0,11/11/2012,10/18/2016,46.532,150.871
252120,Ulawun,20834,Confirmed Eruption,Historical Observations,1,11/6/2012,12/11/2012,-5.05,151.33
284170,Pagan,20804,Confirmed Eruption,Historical Observations,2,10/30/2012,12/11/2012,18.13,145.8
345020,Rincon de la Vieja,22161,Confirmed Eruption,Historical Observations,1,10/17/2012,10/17/2012,10.83,-85.324
263340,Raung,22377,Confirmed Eruption,Historical Observations,3,10/16/2012,1/6/2013,-8.119,114.056
264150,Paluweh,20806,Confirmed Eruption,Historical Observations,2,10/8/2012,10/31/2013,-8.32,121.708
290390,Alaid,20750,Confirmed Eruption,Historical Observations,2,10/5/2012,12/12/2012,50.861,155.565
261140,Marapi,20797,Confirmed Eruption,Historical Observations,1,9/26/2012,9/26/2012,-0.38,100.474
268060,Gamalama,20766,Confirmed Eruption,Historical Observations,1,9/15/2012,9/17/2012,0.8,127.33
266100,Lokon-Empung,20794,Confirmed Eruption,Historical Observations,2,9/15/2012,9/9/2013,1.358,124.792
344020,San Cristobal,20815,Confirmed Eruption,Historical Observations,2,9/8/2012,9/15/2012,12.702,-87.004
234010,Heard,20768,Confirmed Eruption,Historical Observations,0,9/5/2012,1/20/2021,-53.106,73.513
300260,Klyuchevskoy,20785,Confirmed Eruption,Historical Observations,1,9/1/2012,1/28/2013,56.056,160.642
266030,Soputan,20821,Confirmed Eruption,Historical Observations,3,8/26/2012,9/19/2012,1.112,124.737
290070,Etorofu-Yakeyama [Grozny Group],20761,Confirmed Eruption,Historical Observations,2,8/16/2012,8/25/2012,45.012,147.871
241040,Whakaari/White Island,20839,Confirmed Eruption,Historical Observations,2,8/7/2012,10/11/2013,-37.52,177.18
241080,Tongariro,20826,Confirmed Eruption,Historical Observations,2,8/6/2012,8/7/2012,-39.157,175.632
242050,Monowai,20799,Confirmed Eruption,Hydrophonic,0,8/3/2012,8/4/2012,-25.887,-177.188
242005,Havre Seamount,20748,Confirmed Eruption,Historical Observations,1,7/17/2012,7/19/2012,-31.08,-179.033
267020,Karangetang,20776,Confirmed Eruption,Historical Observations,2,5/14/2012,9/5/2013,2.781,125.407
351080,Galeras,20764,Confirmed Eruption,Historical Observations,2,5/13/2012,1/30/2014,1.22,-77.37
264270,Sirung,20819,Confirmed Eruption,Historical Observations,2,5/8/2012,5/12/2012,-8.508,124.13
252120,Ulawun,20833,Confirmed Eruption,Historical Observations,1,5/7/2012,5/31/2012,-5.05,151.33
252080,Witori,20805,Confirmed Eruption,Historical Observations,2,5/3/2012,7/11/2012,-5.576,150.516
344100,Masaya,22143,Confirmed Eruption,Historical Observations,1,4/30/2012,6/8/2012,11.985,-86.165
261140,Marapi,20796,Confirmed Eruption,Historical Observations,1,3/1/2012,5/18/2012,-0.38,100.474
351020,"Ruiz, Nevado del",20814,Confirmed Eruption,Historical Observations,3,2/22/2012,7/12/2013,4.892,-75.324
345020,Rincon de la Vieja,20813,Confirmed Eruption,Historical Observations,1,2/19/2012,4/14/2012,10.83,-85.324
311110,Kanaga,20774,Confirmed Eruption,Historical Observations,2,2/18/2012,2/18/2012,51.923,-177.168
284120,Ioto,20772,Confirmed Eruption,Historical Observations,1,2/10/2012,5/2/2012,24.751,141.289
251030,Karkar,20778,Confirmed Eruption,Historical Observations,3,2/1/2012,2/1/2012,-4.649,145.964
345070,Turrialba,20830,Confirmed Eruption,Historical Observations,2,1/12/2012,1/18/2012,10.025,-83.767
264230,Lewotolok,20791,Confirmed Eruption,Historical Observations,1,1/2/2012,1/14/2012,-8.274,123.508
221020,Zubair Group,20840,Confirmed Eruption,Historical Observations,2,12/18/2011,1/12/2012,15.05,42.18
261170,Kerinci,22217,Confirmed Eruption,Historical Observations,1,12/15/2011,12/15/2011,-1.697,101.264
268060,Gamalama,20765,Confirmed Eruption,Historical Observations,2,12/5/2011,12/23/2011,0.8,127.33
352080,Tungurahua,22215,Confirmed Eruption,Historical Observations,3,11/27/2011,3/16/2016,-1.467,-78.442
223020,Nyamulagira,20801,Confirmed Eruption,Historical Observations,2,11/6/2011,3/16/2012,-1.408,29.2
358057,"Hudson, Cerro",20770,Confirmed Eruption,Historical Observations,2,10/26/2011,11/1/2011,-45.9,-72.97
383020,Hierro,20769,Confirmed Eruption,Historical Observations,2,10/10/2011,3/5/2012,27.73,-18.03
257020,Gaua,20938,Confirmed Eruption,Historical Observations,1,9/17/2011,10/10/2011,-14.27,167.5
345020,Rincon de la Vieja,20812,Confirmed Eruption,Historical Observations,1,8/22/2011,9/27/2011,10.83,-85.324
344020,San Cristobal,10898,Confirmed Eruption,Historical Observations,1,8/21/2011,10/23/2011,12.702,-87.004
261140,Marapi,20795,Confirmed Eruption,Historical Observations,2,8/3/2011,10/12/2011,-0.38,100.474
262000,Krakatau,20787,Confirmed Eruption,Historical Observations,2,7/31/2011,9/9/2012,-6.102,105.423
311240,Cleveland,20758,Confirmed Eruption,Historical Observations,2,7/19/2011,8/18/2015,52.825,-169.944
266030,Soputan,20820,Confirmed Eruption,Historical Observations,3,7/3/2011,8/15/2011,1.112,124.737
266100,Lokon-Empung,20793,Confirmed Eruption,Historical Observations,2,6/26/2011,5/1/2012,1.358,124.792
222120,"Lengai, Ol Doinyo",20790,Confirmed Eruption,Historical Observations,0,6/22/2011,7/15/2014,-2.764,35.914
221101,Nabro,20800,Confirmed Eruption,Historical Observations,4,6/13/2011,6/3/2012,13.37,41.7
352090,Sangay,22234,Confirmed Eruption,Historical Observations,2,6/6/2011,9/19/2012,-2.005,-78.341
357150,Puyehue-Cordon Caulle,20809,Confirmed Eruption,Historical Observations,5,6/4/2011,4/21/2012,-40.59,-72.117
